gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Ramona,Stanley,4958,Royal Ln,Chula Vista,Utah,United States,42614,57.356,102.8495,-12:00,"Eniwetok, Kwajalein",ramona.stanley@example.com,d307b2d5-0d9d-48b0-82e4-36f1a846dcc0,greenswan800,0\@G9+aO_,d3M2FTdI,9f940d0f800354e7cfa02f310e13f7b5,533db21dac6bdf8f3ec19468be33c1c39a1518bb,a6ebb775c557004885807fa8955b054ac0ac7f0abd1597fe6a47a6705c4ec360,1985-08-15T15:41:20.951Z,37,2002-11-17T11:55:45.622Z,20,(430)-210-0010,(334)-473-6822,SSN,842-96-5589,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
female,Miss,Jill,Reid,897,Plum St,Riverside,Nevada,United States,42186,72.7906,-15.2934,-8:00,Pacific Time (US & Canada),jill.reid@example.com,50420002-0456-47b6-ad33-d74fb98de77b,greenelephant142,6~LOI9cG){Pu x>8,gvb6vIfI,f5c4eb0c10dd2cfb5a4732a36496f83a,fcda2c70b7ea0fa16fe3564cc6bef937cb3e2de4,5a87fdb4a870bdd2d46ca73700e64a6f7d269061b8d3c4de7a691c73d011389b,1975-04-26T03:02:21.816Z,47,2002-10-03T17:32:27.146Z,20,(072)-081-7506,(102)-240-7166,SSN,001-82-1878,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
female,Miss,Ella,Bryant,1226,Depaul Dr,Billings,Pennsylvania,United States,31837,-68.2463,-122.6327,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",ella.bryant@example.com,19b85150-e581-48ff-9776-fa6158d0d3f5,crazydog578,prLHha87,vByawJAr,5288ce1c438137248cc5ba4a8e2d0fda,dbdc42cde2aba6ac372f339ff7a2981e04910a11,0bfe5c5f648edb872b0ec68905306ff60d9a1db9816165dcd2d964610488a43c,1995-05-04T08:49:18.213Z,27,2012-06-20T06:03:42.287Z,10,(175)-019-2461,(690)-646-3409,SSN,732-96-1184,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,US
female,Miss,Beatrice,Rivera,7867,White Oak Dr,Lincoln,Wisconsin,United States,54988,-43.6872,-162.8246,-12:00,"Eniwetok, Kwajalein",beatrice.rivera@example.com,90d1b30c-2b80-4921-b470-c199002e32dc,sadfrog916,=(sxtEJsw}a,pEz5wtHA,1abc7baca30785dd8f015ec4a95be7b9,6f6a03156518acb29db7f294f599e5ba53992b58,949c141bf297d254c7899a736f031fe781399d916515093951c4fe91bdb3a263,1959-11-30T07:15:28.413Z,63,2013-07-13T20:44:04.631Z,9,(090)-947-0233,(793)-397-6090,SSN,891-89-7225,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
female,Mrs,Kylie,Hale,2830,Washington Ave,Chicago,Florida,United States,62086,63.402,-79.3426,+2:00,"Kaliningrad, South Africa",kylie.hale@example.com,4109121b-3576-4059-a40c-c76baff428e9,ticklishsnake786,jz[w~af yRoYal<,WGZtODqs,8438bbf0077e374784c861da1bdbb323,335df750cef7079779c93a39ca8ae659f6b3d4de,ecfa1a10dd08e0f8c11d355711f98cef04319ed9fc5f9f3a448832f3eca1125e,1981-10-11T19:18:00.390Z,41,2005-03-19T09:32:10.404Z,17,(335)-576-5750,(724)-465-5254,SSN,087-35-6329,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
female,Ms,Esther,Wright,7586,Fairview St,Paterson,New Hampshire,United States,46794,79.6963,-142.5329,-3:00,"Brazil, Buenos Aires, Georgetown",esther.wright@example.com,b802f37b-19f1-4a6a-a60f-b54fb33d6a1c,beautifulswan513,l6%gFn+yr,KD43o1nK,d68bb3a28d69aa949207d3176a10d61b,148e7d867147d581b9c80d869412089542a60fc3,93a3df7c52755a4953835d679045ec768b97647168a085970223c1963d33357f,1954-06-23T05:24:48.742Z,68,2014-09-09T11:25:07.568Z,8,(505)-811-8754,(938)-202-0473,SSN,644-31-7539,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Miss,Robin,Berry,8992,Wycliff Ave,Des Moines,South Carolina,United States,73099,-69.5018,-175.6728,+7:00,"Bangkok, Hanoi, Jakarta",robin.berry@example.com,cf8f7376-e558-4663-9cdd-67dd59b5e4a7,orangemouse736,vC# %Qw:WSZ-CS6,licWGYh5,e209fd83489da183672667e9aa7c0536,ad1c27aaf9373d95918e53c318c941054192abfb,808a3a3599435d0a05e0973eaf617f757f1159b35c7692bde01e8140b0640fa1,1946-08-03T14:41:39.464Z,76,2014-06-07T17:31:11.683Z,8,(307)-450-0383,(609)-046-1683,SSN,873-12-6050,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
female,Miss,Pearl,Holmes,7705,Stevens Creek Blvd,Forney,North Carolina,United States,41383,-78.4803,163.249,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",pearl.holmes@example.com,0f7c0446-be65-4fba-8e1c-f2cfc448a856,yellowmeercat981,">X&,%k2s~^0[s",X2m9Y0FO,69c39623b1e4ff6223adc944f9a04938,c0db7a287c0efd0b1861a17516c8990267182866,0acfd0b527e39dc16ad2c978ea466d05f560692644ae77e83b6eba5d709e89be,1964-08-26T23:35:54.876Z,58,2017-07-14T04:48:34.926Z,5,(802)-174-2498,(528)-438-9832,SSN,079-19-0628,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Ms,Stacy,Lopez,4554,Northaven Rd,Burbank,Connecticut,United States,27397,3.994,-78.1419,+3:30,Tehran,stacy.lopez@example.com,f229c8d5-a744-4dbe-bd5a-a0e8c99b3ddc,happytiger300,UnA-T[RQH$,ritw74iX,e76026821d0d82208f60b355365b9030,76ed0a10750ff3637671e7f8920fa9a3f8c3e1a5,b2160ba68a3925fd12285031d4282e8d48f725b7d6688704025d6b4b38249ba4,1969-01-17T00:59:42.120Z,53,2018-05-23T14:16:41.290Z,4,(860)-709-9369,(386)-352-2322,SSN,542-29-7034,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
female,Miss,Cassandra,Stevens,2635,Homestead Rd,Kansas City,South Dakota,United States,34554,33.5371,-118.4308,-8:00,Pacific Time (US & Canada),cassandra.stevens@example.com,26588ca8-c80c-4467-9884-861dc59a53eb,saddog766,"Hy*'.Y,RZ%.s",fhCkleUc,bb26d9a492ddd6fda60dc0bd59b9767f,2d47049987237e612a2749daf15c260ac032cccd,b536a06825858825d950fb0265012d3d999abd56a672817d0904fa39bdebf06b,1954-06-16T21:13:31.413Z,68,2011-11-14T00:16:42.192Z,11,(730)-568-8307,(826)-209-7956,SSN,263-43-8222,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
